"id"	"LIBELLE"	"agr"	"art"	"sup"	"int"	"emp"	"ouv"	"total"	"pagr"	"part"	"psup"	"pint"	"pemp"	"pouv"	"typo"
"02001"	"Abbécourt"	0	10	5	31	56	82	184	0	5.43478260869565	2.71739130434783	16.8478260869565	30.4347826086957	44.5652173913043	"ouv"
"02002"	"Achery"	0	25	20	56	46	61	208	0	12.0192307692308	9.61538461538462	26.9230769230769	22.1153846153846	29.3269230769231	"ouv"
"02003"	"Acy"	5	15	25	90	90	100	325	1.53846153846154	4.61538461538462	7.69230769230769	27.6923076923077	27.6923076923077	30.7692307692308	"ouv"
"02004"	"Agnicourt-Et-Séchelles"	5	5	0	21	16	10	57	8.7719298245614	8.7719298245614	0	36.8421052631579	28.0701754385965	17.5438596491228	"int"
"02005"	"Aguilcourt"	0	0	12	41	49	62	164	0	0	7.31707317073171	25	29.8780487804878	37.8048780487805	"ouv"
"02006"	"Aisonville-Et-Bernoville"	5	0	10	35	10	45	105	4.76190476190476	0	9.52380952380952	33.3333333333333	9.52380952380952	42.8571428571429	"ouv"
"02007"	"Aizelles"	13	4	4	13	21	4	59	22.0338983050847	6.77966101694915	6.77966101694915	22.0338983050847	35.5932203389831	6.77966101694915	"emp"
"02008"	"Aizy-Jouy"	0	0	26	41	41	26	134	0	0	19.4029850746269	30.5970149253731	30.5970149253731	19.4029850746269	"int"
"02009"	"Alaincourt"	0	0	20	65	45	61	191	0	0	10.4712041884817	34.0314136125654	23.5602094240838	31.9371727748691	"int"
"02010"	"Allemant"	0	4	0	15	23	23	65	0	6.15384615384615	0	23.0769230769231	35.3846153846154	35.3846153846154	"emp"
"02011"	"Ambleny"	0	34	34	133	79	103	383	0	8.87728459530026	8.87728459530026	34.7258485639687	20.6266318537859	26.8929503916449	"int"
"02012"	"Ambrief"	0	0	0	0	5	15	20	0	0	0	0	25	75	"ouv"
"02013"	"Amifontaine"	0	15	10	60	20	45	150	0	10	6.66666666666667	40	13.3333333333333	30	"int"
"02014"	"Amigny-Rouy"	0	20	5	75	45	60	205	0	9.75609756097561	2.4390243902439	36.5853658536585	21.9512195121951	29.2682926829268	"int"
"02015"	"Ancienville"	0	0	0	5	16	10	31	0	0	0	16.1290322580645	51.6129032258064	32.258064516129	"emp"
"02016"	"Andelain"	0	5	5	15	35	30	90	0	5.55555555555556	5.55555555555556	16.6666666666667	38.8888888888889	33.3333333333333	"emp"
"02017"	"Anguilcourt-Le-Sart"	5	5	20	20	15	30	95	5.26315789473684	5.26315789473684	21.0526315789474	21.0526315789474	15.7894736842105	31.5789473684211	"ouv"
"02018"	"Anizy-Le-Château"	0	28	40	80	251	212	611	0	4.58265139116203	6.54664484451719	13.0932896890344	41.0801963993453	34.6972176759411	"emp"
"02019"	"Annois"	0	5	16	36	10	62	129	0	3.87596899224806	12.4031007751938	27.906976744186	7.75193798449612	48.062015503876	"ouv"
"02020"	"Any-Martin-Rieux"	15	25	15	35	35	40	165	9.09090909090909	15.1515151515152	9.09090909090909	21.2121212121212	21.2121212121212	24.2424242424242	"ouv"
"02021"	"Archon"	5	0	5	10	0	10	30	16.6666666666667	0	16.6666666666667	33.3333333333333	0	33.3333333333333	"int"
"02022"	"Arcy-Sainte-Restitue"	12	19	8	23	62	43	167	7.18562874251497	11.377245508982	4.79041916167665	13.7724550898204	37.125748502994	25.748502994012	"emp"
"02023"	"Armentières-Sur-Ourcq"	0	8	4	8	8	12	40	0	20	10	20	20	30	"ouv"
"02024"	"Arrancy"	0	0	0	5	15	5	25	0	0	0	20	60	20	"emp"
"02025"	"Artemps"	0	0	4	41	28	53	126	0	0	3.17460317460317	32.5396825396825	22.2222222222222	42.0634920634921	"ouv"
"02027"	"Assis-Sur-Serre"	0	0	5	10	25	25	65	0	0	7.69230769230769	15.3846153846154	38.4615384615385	38.4615384615385	"emp"
"02028"	"Athies-Sous-Laon"	5	30	99	253	370	224	981	0.509683995922528	3.05810397553517	10.0917431192661	25.7900101936799	37.7166156982671	22.8338430173293	"emp"
"02029"	"Attilly"	0	5	15	30	60	45	155	0	3.2258064516129	9.67741935483871	19.3548387096774	38.7096774193548	29.0322580645161	"emp"
"02030"	"Aubencheul-Aux-Bois"	4	12	0	12	27	39	94	4.25531914893617	12.7659574468085	0	12.7659574468085	28.7234042553192	41.4893617021277	"ouv"
"02031"	"Aubenton"	16	16	4	28	72	72	208	7.69230769230769	7.69230769230769	1.92307692307692	13.4615384615385	34.6153846153846	34.6153846153846	"emp"
"02032"	"Aubigny-Aux-Kaisnes"	0	0	4	12	12	61	89	0	0	4.49438202247191	13.4831460674157	13.4831460674157	68.5393258426966	"ouv"
"02033"	"Aubigny-En-Laonnois"	0	0	8	0	8	16	32	0	0	25	0	25	50	"ouv"
"02034"	"Audignicourt"	0	0	4	4	4	16	28	0	0	14.2857142857143	14.2857142857143	14.2857142857143	57.1428571428571	"ouv"
"02035"	"Audigny"	5	10	5	15	30	30	95	5.26315789473684	10.5263157894737	5.26315789473684	15.7894736842105	31.5789473684211	31.5789473684211	"emp"
"02036"	"Augy"	0	10	0	0	5	20	35	0	28.5714285714286	0	0	14.2857142857143	57.1428571428571	"ouv"
"02037"	"Aulnois-Sous-Laon"	0	20	25	135	225	139	544	0	3.67647058823529	4.59558823529412	24.8161764705882	41.3602941176471	25.5514705882353	"emp"
"02038"	"Autels"	0	0	0	0	12	12	24	0	0	0	0	50	50	"emp"
"02039"	"Autremencourt"	8	0	4	11	15	19	57	14.0350877192982	0	7.01754385964912	19.2982456140351	26.3157894736842	33.3333333333333	"ouv"
"02040"	"Autreppes"	12	0	8	4	12	12	48	25	0	16.6666666666667	8.33333333333333	25	25	"agr"
"02041"	"Autreville"	0	28	20	76	92	88	304	0	9.21052631578947	6.57894736842105	25	30.2631578947368	28.9473684210526	"emp"
"02042"	"Azy-Sur-Marne"	15	15	15	46	21	31	143	10.4895104895105	10.4895104895105	10.4895104895105	32.1678321678322	14.6853146853147	21.6783216783217	"int"
"02043"	"Bagneux"	0	0	0	5	5	10	20	0	0	0	25	25	50	"ouv"
"02044"	"Bancigny"	0	0	0	5	0	0	5	0	0	0	100	0	0	"int"
"02046"	"Barenton-Bugny"	4	8	16	48	103	48	227	1.76211453744493	3.52422907488987	7.04845814977974	21.1453744493392	45.374449339207	21.1453744493392	"emp"
"02047"	"Barenton-Cel"	0	5	0	27	5	11	48	0	10.4166666666667	0	56.25	10.4166666666667	22.9166666666667	"int"
"02048"	"Barenton-Sur-Serre"	0	0	5	23	14	5	47	0	0	10.6382978723404	48.936170212766	29.7872340425532	10.6382978723404	"int"
"02049"	"Barisis-Aux-Bois"	8	12	20	96	72	64	272	2.94117647058824	4.41176470588235	7.35294117647059	35.2941176470588	26.4705882352941	23.5294117647059	"int"
"02050"	"Barzy-En-Thiérache"	20	0	10	5	25	49	109	18.348623853211	0	9.1743119266055	4.58715596330275	22.9357798165138	44.954128440367	"ouv"
"02051"	"Barzy-Sur-Marne"	30	5	10	30	30	15	120	25	4.16666666666667	8.33333333333333	25	25	12.5	"agr"
"02052"	"Bassoles-Aulers"	0	0	4	8	25	16	53	0	0	7.54716981132075	15.0943396226415	47.1698113207547	30.188679245283	"emp"
"02053"	"Vallées En Champagne"	12	22	33	38	43	73	221	5.42986425339367	9.95475113122172	14.9321266968326	17.1945701357466	19.4570135746606	33.0316742081448	"ouv"
"02054"	"Bazoches-Sur-Vesles"	15	30	25	66	25	41	202	7.42574257425743	14.8514851485149	12.3762376237624	32.6732673267327	12.3762376237624	20.2970297029703	"int"
"02055"	"Beaumé"	0	4	8	0	8	12	32	0	12.5	25	0	25	37.5	"ouv"
"02056"	"Beaumont-En-Beine"	0	0	0	8	16	44	68	0	0	0	11.7647058823529	23.5294117647059	64.7058823529412	"ouv"
"02057"	"Beaurevoir"	4	12	20	82	117	254	489	0.81799591002045	2.45398773006135	4.08997955010225	16.7689161554192	23.9263803680982	51.9427402862986	"ouv"
"02058"	"Beaurieux"	4	21	21	49	115	74	284	1.40845070422535	7.3943661971831	7.3943661971831	17.2535211267606	40.4929577464789	26.056338028169	"emp"
"02059"	"Beautor"	0	28	32	133	286	381	860	0	3.25581395348837	3.72093023255814	15.4651162790698	33.2558139534884	44.3023255813953	"ouv"
"02060"	"Beauvois-En-Vermandois"	4	8	4	28	32	36	112	3.57142857142857	7.14285714285714	3.57142857142857	25	28.5714285714286	32.1428571428571	"ouv"
"02061"	"Becquigny"	0	0	4	24	32	44	104	0	0	3.84615384615385	23.0769230769231	30.7692307692308	42.3076923076923	"ouv"
"02062"	"Belleau"	10	0	0	15	0	15	40	25	0	0	37.5	0	37.5	"int"
"02063"	"Bellenglise"	0	0	16	45	24	49	134	0	0	11.9402985074627	33.5820895522388	17.910447761194	36.5671641791045	"ouv"
"02064"	"Belleu"	0	36	56	276	378	312	1058	0	3.40264650283554	5.2930056710775	26.0869565217391	35.7277882797732	29.4896030245747	"emp"
"02065"	"Bellicourt"	0	15	10	52	83	46	206	0	7.28155339805825	4.85436893203883	25.2427184466019	40.2912621359223	22.3300970873786	"emp"
"02066"	"Benay"	0	0	5	45	30	15	95	0	0	5.26315789473684	47.3684210526316	31.5789473684211	15.7894736842105	"int"
"02067"	"Bergues-Sur-Sambre"	5	10	0	0	15	35	65	7.69230769230769	15.3846153846154	0	0	23.0769230769231	53.8461538461538	"ouv"
"02068"	"Berlancourt"	5	0	10	15	0	15	45	11.1111111111111	0	22.2222222222222	33.3333333333333	0	33.3333333333333	"int"
"02069"	"Berlise"	0	8	0	12	4	28	52	0	15.3846153846154	0	23.0769230769231	7.69230769230769	53.8461538461538	"ouv"
"02070"	"Bernot"	0	10	20	40	40	35	145	0	6.89655172413793	13.7931034482759	27.5862068965517	27.5862068965517	24.1379310344828	"int"
"02071"	"Berny-Rivière"	0	10	25	79	114	40	268	0	3.73134328358209	9.32835820895522	29.4776119402985	42.5373134328358	14.9253731343284	"emp"
"02072"	"Berrieux"	0	5	0	10	20	30	65	0	7.69230769230769	0	15.3846153846154	30.7692307692308	46.1538461538462	"ouv"
"02073"	"Berry-Au-Bac"	0	10	19	39	67	47	182	0	5.49450549450549	10.4395604395604	21.4285714285714	36.8131868131868	25.8241758241758	"emp"
"02074"	"Bertaucourt-Epourdon"	0	20	0	70	60	100	250	0	8	0	28	24	40	"ouv"
"02075"	"Berthenicourt"	0	8	8	24	12	12	64	0	12.5	12.5	37.5	18.75	18.75	"int"
"02076"	"Bertricourt"	4	8	4	28	8	12	64	6.25	12.5	6.25	43.75	12.5	18.75	"int"
"02077"	"Berzy-Le-Sec"	0	4	20	36	56	52	168	0	2.38095238095238	11.9047619047619	21.4285714285714	33.3333333333333	30.952380952381	"emp"
"02078"	"Besmé"	0	0	0	20	27	20	67	0	0	0	29.8507462686567	40.2985074626866	29.8507462686567	"emp"
"02079"	"Besmont"	13	4	4	8	8	13	50	26	8	8	16	16	26	"agr"
"02080"	"Besny-Et-Loizy"	0	5	5	35	40	29	114	0	4.3859649122807	4.3859649122807	30.7017543859649	35.0877192982456	25.4385964912281	"emp"
"02081"	"Béthancourt-En-Vaux"	0	13	13	30	48	84	188	0	6.91489361702128	6.91489361702128	15.9574468085106	25.531914893617	44.6808510638298	"ouv"
"02082"	"Beugneux"	4	0	0	19	11	11	45	8.88888888888889	0	0	42.2222222222222	24.4444444444444	24.4444444444444	"int"
"02083"	"Beuvardes"	8	20	12	40	64	124	268	2.98507462686567	7.46268656716418	4.47761194029851	14.9253731343284	23.8805970149254	46.2686567164179	"ouv"
"02084"	"Bézu-Le-Guéry"	4	8	8	28	36	16	100	4	8	8	28	36	16	"emp"
"02085"	"Bézu-Saint-Germain"	4	8	40	105	162	117	436	0.917431192660551	1.8348623853211	9.1743119266055	24.0825688073394	37.1559633027523	26.8348623853211	"emp"
"02086"	"Bichancourt"	5	25	20	137	147	95	429	1.16550116550117	5.82750582750583	4.66200466200466	31.9347319347319	34.2657342657343	22.1445221445221	"emp"
"02087"	"Bieuxy"	0	0	0	5	5	0	10	0	0	0	50	50	0	"int"
"02088"	"Bièvres"	0	4	0	21	4	9	38	0	10.5263157894737	0	55.2631578947368	10.5263157894737	23.6842105263158	"int"
"02089"	"Billy-Sur-Aisne"	4	24	36	77	109	101	351	1.13960113960114	6.83760683760684	10.2564102564103	21.9373219373219	31.0541310541311	28.7749287749288	"emp"
"02090"	"Billy-Sur-Ourcq"	0	0	20	10	25	15	70	0	0	28.5714285714286	14.2857142857143	35.7142857142857	21.4285714285714	"emp"
"02091"	"Blanzy-Lès-Fismes"	0	5	10	0	5	20	40	0	12.5	25	0	12.5	50	"ouv"
"02093"	"Blérancourt"	12	24	44	88	108	128	404	2.97029702970297	5.94059405940594	10.8910891089109	21.7821782178218	26.7326732673267	31.6831683168317	"ouv"
"02094"	"Blesmes"	4	8	16	41	20	37	126	3.17460317460317	6.34920634920635	12.6984126984127	32.5396825396825	15.8730158730159	29.3650793650794	"int"
"02095"	"Bohain-En-Vermandois"	25	80	45	145	591	632	1518	1.64690382081686	5.27009222661397	2.96442687747036	9.55204216073781	38.9328063241107	41.6337285902503	"ouv"
"02096"	"Bois-Lès-Pargny"	5	0	5	10	19	10	49	10.2040816326531	0	10.2040816326531	20.4081632653061	38.7755102040816	20.4081632653061	"emp"
"02097"	"Boncourt"	5	5	10	25	25	30	100	5	5	10	25	25	30	"ouv"
"02098"	"Bonneil"	12	12	16	31	35	47	153	7.84313725490196	7.84313725490196	10.4575163398693	20.2614379084967	22.8758169934641	30.718954248366	"ouv"
