id;nom;voyageurs
ACAT;ACACIAS (TRAM);5196,6
ALFT;ALFRED MONGY (TRAM);16102,65
ALSAM;ALSACE (M2);28218,1
BOISM;BOIS BLANCS (M2);24864
BOLT;BOL D'AIR (TRAM);31672,6
BOTT;BOTANIQUE (TRAM);24390,65
BOURM;BOURGOGNE (M2);23524,35
BROT;BROSSOLETTE (TRAM);46223,1
BUIT;BUISSON (TRAM);12808
CANTM;4 CANTONS STADE PIERRE MAUROY  (M1);105618,15
CANTLM;CANTELEU (M2);40867,85
CARLM;CARLIERS (M2);136693,3
CART;CARTELOT (TRAM);9911,25
CAULM;CAULIER (M1);83078,3
CERT;CERISAIE CENTRE D'AFFAIRES (TRAM);5297,7
CHARM;CHARLES DE GAULLE (M2);40175,5
CHAT;CHATEAU ROUGE (TRAM);24717,55
CHDM;C.H. DRON (M2);28840,65
CHUCM;C.H.U CENTRE O (M2);98824,8
CHUEM;C.H.U EURASANTE (M1);222547,5
CITEM;CITE SCIENTIFIQUE PR GABILLARD (M1);143478,8
CLET;CLEMENCEAU HIPPODROME (TRAM);19530,7
COLBM;COLBERT (M2);54821,1
CORMM;CORMONTAIGNE (M2);39451,25
CROIM;CROIX CENTRE (M2);118283,35
CROT;CROISE LAROCHE (TRAM);13160,65
EPEUM;EPEULE MONTESQUIEU (M2);53147,7
EUROM;EUROTELEPORT (M2);180977,55
EURT;EUROTELEPORT (TRAM);7981,75
FAIT;FAIDHERBE (TRAM);8110,5
FIVEM;FIVES  (M1);137439
FOCT;FOCH (TRAM);4515,45
FORTM;FORT DE MONS (M2);67168,8
GAMBM;GAMBETTA  (M1);188607,4
GAREM;GARE DE TOURCOING (M2);6640,05
GARLFM;GARE LILLE FLANDRES (M1 et M2);1054443,35
GARLFT;GARE LILLE FLANDRES (TRAM);212207,1
GARLM;GARE LILLE EUROPE (M2);115680,1
GARLT;GARE LILLE EUROPE (TRAM);21590,65
GRAT;GRAND COTTIGNIES (TRAM);4078,65
HOPT;HOPITAL VICTOR PROVO (TRAM);9046,5
JEANJM;JEAN JAURES (M2);77527,05
JEANLM;JEAN LEBAS ROUBAIX (M2);60718,9
JEANMT;JEAN MOULIN (TRAM);4638,45
LAMBM; LAMBRET (M1);26945,85
LAMT;LA MARQUE (TRAM);3763,8
LAQT;LE QUESNE (TRAM);5228,45
LATT;LA TERRASSE (TRAM);46474,35
LEPM;LES PRES - EDGAR PISANI (M2);44539,5
LEST;LE SART (TRAM);5620,3
LILGPM;LILLE GRAND PALAIS (M2);35759,05
LOBM;LOMME BOURG (M2);14144,55
LOMLM;LOMME LAMBERSART ARTHUR NOTEBART (M2);74246,6
MACT;MA CAMPAGNE (TRAM);9895,1
MAICM;MAIRIE DE CROIX (M2);36031,25
MAIHM;MAIRIE D'HELLEMMES (M1);93192,7
MAILM;MAIRIE DE LILLE (M2);36417,1
MAIMM;MAIRIE DE MONS (M2);55061,5
MAISM;MAISON DES ENFANTS (M2);27976
MARBM;MARBRERIE (M1);316400,9
MERCM;MERCURE (M2);28502,3
MITTM;MITTERIE (M2);57675,85
MONSM;MONS SARTS (M2);41828,45
MONTM;MONTEBELLO (M2);47948,85
PARBT;PARC BARBIEUX (TRAM);29890,35
PHALM;PHALEMPINS (M2);35094,05
PLAT;PLANCHE EPINOY (TRAM);4217,35
PONTBM;PONT DE BOIS (M1);188368,4
PONTHT;PONT HYDRAULIQUE (TRAM);4533,2
PONTNM;PONT DE NEUVILLE (M2);54375,75
PONTSM;PONT SUPERIEUR (M2);24236,9
PONTWT;PONT DE WASQUEHAL (TRAM);3342,25
PORAM;LILLE PORTE D'ARRAS (M2);94740,3
PORDM;LILLE PORTE DE DOUAI (M2);202670,3
PORTLM;PORT DE LILLE (M2);55659,7
PORTPM;PORTE DES POSTES (M1);156450,95
PORTVM;PORTE DE VALENCIENNES (M2);70865,5
REPUM;REPUBLIQUE BEAUX-ARTS (M1);58381,25
RIHOM;RIHOUR (M1);268622,35
ROMT;ROMARIN (TRAM);47144,55
ROUGPM;ROUBAIX GRAND PLACE (M2);32160,55
SAIPM;LOMME SAINT PHILIBERT (M2);74813,05
SQUAM;SQUARE FLANDRES (M1);80502,7
STMPM;ST MAURICE PELLEVOISIN (M2);79457,3
TOURM;TOURCOING CENTRE (M2);103434,3
TOUT;TOURCOING CENTRE (TRAM);112851,5
TRIOM;TRIOLO (M1) ;63884,15
TRIT;TRIEZ (TRAM);4815
TROT;TROIS SUISSES (TRAM);14291,95
VASQM;V. D'ASCQ HOTEL DE VILLE (M1);199515,45
VICT;VICTOIRE (TRAM);8919,75
VILT;VILLA CAVROIS (TRAM);10938,75
WASQHM;WASQUEHAL HOTEL DE VILLE (M2);27093,1
WASQPM;WASQUEHAL PAVE DE LILLE (M2);3705,1
WASQPT;WASQUEHAL PAVE DE LILLE (TRAM);13802,65
WAZEM;WAZEMMES (M1);99337,95
