CODGEO;Libellé commune ou ARM;Région;Département;Population en 2012;Population en 2007;Superficie;Naissances entre 2007 et 2012;Décès entre 2007 et 2012;Ménages en 2012;Nombre de naissances domiciliées en 2013;Nombre de décès domiciliés en 2013;Logements en 2012;Résidences principales en 2012;Rés secondaires et logts occasionnels en 2012;Logements vacants en 2012;Rés princ occupées Propriétaires en 2012;Nombre de ménages fiscaux en 2012;Part des ménages fiscaux imposés  en 2012;Médiane du revenu disponible par UC en 2012;Taux de pauvreté en 2012;Emplois au LT en 2012;Emplois salariés au LT en 2012;Emplois au LT en 2007;Pop 15-64 ans en 2012;Chômeurs 15-64 ans en 2012;Actifs 15-64 ans en 2012;Total des ets actifs au 31 décembre 2012;Ets actifs agriculture au 31/12/2012;Ets actifs industrie au 31/12/2012;Ets actifs construction au 31/12/2012;Ets actifs commerce services au 31/12/2012;Ets actifs commerce réparation auto au 31/12/2012;Ets actifs adm publique au 31/12/2012;Ets actifs de 1 à 9 salariés au 31 décembre 2012;Ets actifs 10 salariés ou plus au 31 décembre 2012;coordonnees;Métropole
59105;Bouvignies;31;59;1541.0;1513.0;8.7;88.0;50.0;582.0;18.0;14.0;625.0;582.0;7.0;36.0;504.0;583.0;;22264.2857143;;134.604006889;82.7601080431;132.59807299;1014.0;48.0;765.0;94.0;20.0;1.0;16.0;52.0;7.0;5.0;15.0;1.0;50.432750868, 3.23662350637;
59175;Dimont;31;59;324.0;326.0;7.49;19.0;22.0;130.0;1.0;3.0;137.0;130.0;0.0;7.0;101.0;126.0;;20081.7857143;;40.9546161927;14.9546161927;37.9006393194;216.0;14.0;164.0;28.0;10.0;0.0;3.0;13.0;2.0;2.0;7.0;0.0;50.1830406458, 4.02228377235;
59179;Douchy-les-Mines;31;59;10737.0;9986.0;9.2;789.0;471.0;4111.74017657;186.0;96.0;4313.02550648;4111.74017657;5.85231679676;195.433013107;2151.22404709;4087.0;43.2035268185;15004.0;28.0172;1469.34563825;1291.77689065;1363.07934042;6771.04886675;1070.34974742;4421.77127908;338.0;5.0;21.0;45.0;190.0;70.0;77.0;91.0;25.0;50.2994352925, 3.38947295524;
59181;Dourlers;31;59;568.0;548.0;8.74;37.0;27.0;231.334488735;5.0;4.0;255.490130758;231.334488735;4.02594033722;20.1297016861;173.254766031;232.0;;19420.0;;85.7690991291;57.2325884487;83.6587637901;369.150779896;41.3448873484;287.445407279;60.0;14.0;2.0;7.0;33.0;4.0;4.0;10.0;2.0;50.1745636905, 3.94546756925;
59191;Élincourt;31;59;633.0;649.0;8.41;34.0;39.0;257.001605912;10.0;7.0;285.728878639;257.001605912;2.87272727273;25.8545454545;204.001274731;248.0;;16727.1666667;;61.4419437564;35.8691939273;66.2638657975;395.998519062;66.9977817174;277.99910019;50.0;16.0;5.0;3.0;22.0;6.0;4.0;5.0;1.0;50.0457660349, 3.37059499043;
59210;Esquelbecq;31;59;2108.0;2206.0;12.7;135.0;119.0;826.0;26.0;40.0;887.275706215;826.0;16.0723163842;45.2033898305;620.614195366;826.0;67.7575757576;20507.5;9.86811;491.879979358;401.242079849;489.502658933;1370.26218854;85.419641471;996.601962312;168.0;34.0;4.0;16.0;92.0;27.0;22.0;41.0;12.0;50.8902971553, 2.42902144416;
59349;Ligny-en-Cambrésis;31;59;1863.0;1691.0;8.79;131.0;80.0;725.0;20.0;11.0;805.0;725.0;12.0;68.0;554.0;728.0;;17478.6666667;;256.53002121;196.517179071;318.077683713;1169.0;129.0;872.0;119.0;13.0;16.0;15.0;66.0;22.0;9.0;23.0;8.0;50.1025067499, 3.37859262548;
59364;Louvil;31;59;853.0;845.0;2.5;34.0;27.0;328.154117647;6.0;4.0;344.154117647;328.154117647;0.0;16.0;285.002352941;314.0;;28105.7142857;;99.4010829071;71.2832739233;88.4368267517;552.944705882;28.0988235294;409.44;76.0;8.0;4.0;5.0;46.0;11.0;13.0;10.0;1.0;50.5567255467, 3.18952793321;
59375;Marchiennes;31;59;4697.0;4706.0;21.44;314.0;195.0;1820.13922413;51.0;47.0;1968.07789769;1820.13922413;8.53492347446;139.403750083;1325.02888891;1762.0;62.8409090909;20170.0;11.9828;881.0660834;738.986305864;882.905111777;3080.0124474;284.079700533;2286.84158929;280.0;22.0;11.0;37.0;160.0;41.0;50.0;70.0;17.0;50.414280284, 3.26362216805;
59382;Maretz;31;59;1485.0;1452.0;11.28;100.0;68.0;573.544902093;16.0;12.0;654.625983174;573.544902093;13.1756756757;67.9054054054;421.13436867;567.0;;15968.3333333;;136.212172425;93.9367829184;167.939683787;930.506414585;133.359216745;633.70695476;74.0;14.0;3.0;5.0;39.0;14.0;13.0;21.0;0.0;50.0450861132, 3.42038871212;
